Filename,Number,Output,Formula,# variables,net_type,v1_name,v1_low,v1_high,v2_name,v2_low,v2_high,v3_name,v3_low,v3_high,v4_name,v4_low,v4_high,v5_name,v5_low,v5_high,v6_name,v6_low,v6_high
PG.B.07,19,P_n,Vm*aggr(sour(Vm)*Bv*sin(sour(theta)-targ(theta))),3,network,Vm,0.9,1.1,Bv,1,5,theta,-0.5,0.5,,,,,,,,,
PG.B.08,20,P_n,Vm*aggr(sour(Vm)*(Gv*cos(sour(theta)-targ(theta))+Bv*sin(sour(theta)-targ(theta)))),4,network,Vm,0.9,1.1,Gv,1,5,Bv,1,5,theta,-0.5,0.5,,,,,,
PG.B.09,21,Q_n,Vm*aggr(sour(Vm)*(Gv*sin(sour(theta)-targ(theta))-Bv*cos(sour(theta)-targ(theta)))),4,network,Vm,0.9,1.1,Gv,1,5,Bv,1,5,theta,-0.5,0.5,,,,,,
PG.B.10,22,f_e,sin(sour(theta)-targ(theta)),1,network,theta,-0.5,0.5,,,,,,,,,,,,,,,
PG.B.11,23,f_n,aggr(sin(sour(theta)-targ(theta))),1,network,theta,-0.5,0.5,,,,,,,,,,,,,,,
PG.B.12,24,Y_n,aggr(Bv*sin(sour(theta)-targ(theta))),2,network,Bv,1,5,theta,-0.5,0.5,,,,,,,,,,,,
PG.B.13,25,P_n,Vm*aggr(sour(Vm)*Gv),2,network,Vm,0.9,1.1,Gv,1,5,,,,,,,,,,,,
PG.B.14,26,P_n,aggr(Gv*(sour(Vm)-targ(Vm))**2),2,network,Gv,1,5,Vm,0.9,1.1,,,,,,,,,,,,
PG.C.01,27,P_n,Vm**2*aggr(Gv),2,network,Vm,0.9,1.1,Gv,1,5,,,,,,,,,,,,
PG.C.02,28,P_n,aggr(Gv*sour(Vm)*targ(Vm)),2,network,Gv,1,5,Vm,0.9,1.1,,,,,,,,,,,,
PG.C.03,29,Y_n,aggr(Gv*cos(sour(theta)-targ(theta))),2,network,Gv,1,5,theta,-0.5,0.5,,,,,,,,,,,,
PG.C.04,30,P_n,Vm*aggr(sour(Vm)*Bv*(sour(theta)-targ(theta))),3,network,Vm,0.9,1.1,Bv,1,5,theta,-0.5,0.5,,,,,,,,,
PG.C.05,31,P_n,aggr(Bv*sour(Vm)*targ(Vm)*sin(sour(theta)-targ(theta))),3,network,Bv,1,5,Vm,0.9,1.1,theta,-0.5,0.5,,,,,,,,,
PG.C.06,32,I_n,Vm*aggr(Gv)-aggr(Gv*sour(Vm)),2,network,Vm,0.9,1.1,Gv,1,5,,,,,,,,,,,,
PG.C.07,33,f_n,aggr(sin(sour(theta))*cos(targ(theta))),1,network,theta,-0.5,0.5,,,,,,,,,,,,,,,
PG.C.08,34,I_n,Vm*aggr(Gv+Bv),3,network,Vm,0.9,1.1,Gv,1,5,Bv,1,5,,,,,,,,,
PG.C.09,35,P_n,Vm*aggr(sour(Vm)*Bv*(sin(sour(theta)-targ(theta))+cos(sour(theta)-targ(theta)))),3,network,Vm,0.9,1.1,Bv,1,5,theta,-0.5,0.5,,,,,,,,,
PG.D.01,36,P_s,V**2/R,2,scalar,V,1,5,R,1,5,,,,,,,,,,,,
PG.D.02,37,tau_s,L/R,2,scalar,L,1,5,R,1,5,,,,,,,,,,,,
PG.D.03,38,V_out,Vin*cos(omega*t),3,scalar,Vin,1,5,omega,1,5,t,1,5,,,,,,,,,
PG.D.04,39,P_s,V*I*sin(phi),3,scalar,V,1,5,I,1,5,phi,0.1,3,,,,,,,,,
PG.D.05,40,Z_s,R*XL/sqrt(R**2+XL**2),2,scalar,R,1,5,XL,1,5,,,,,,,,,,,,
PG.D.06,41,V_out,Vin*XL/sqrt(R**2+XL**2),3,scalar,Vin,1,5,R,1,5,XL,1,5,,,,,,,,,
PG.D.07,42,E_s,V*I*t*cos(phi),4,scalar,V,1,5,I,1,5,t,1,5,phi,0.1,3,,,,,,
PG.D.08,43,I_s,Vin/(R1+R2),3,scalar,Vin,1,5,R1,1,5,R2,1,5,,,,,,,,,
PG.D.09,44,V_out,Vin*exp(-t/(R*C)),4,scalar,Vin,1,5,t,1,5,R,1,5,C,1,5,,,,,,
PG.D.10,45,I_s,V*sqrt(C/L),3,scalar,V,1,5,C,1,5,L,1,5,,,,,,,,,
PG.D.11,46,P_s,omega*C*V**2,3,scalar,omega,1,5,C,1,5,V,1,5,,,,,,,,,
PG.D.12,47,E_s,0.5*L*I**2+0.5*C*V**2,4,scalar,L,1,5,I,1,5,C,1,5,V,1,5,,,,,,
PG.E.01,48,f_e,cos(sour(theta)-targ(theta)),1,network,theta,-0.5,0.5,,,,,,,,,,,,,,,
PG.E.02,49,Y_e,Bv*sin(sour(theta)-targ(theta)),2,network,Bv,1,5,theta,-0.5,0.5,,,,,,,,,,,,
PG.E.03,50,I_e,Gv*sour(Vm),2,network,Gv,1,5,Vm,0.9,1.1,,,,,,,,,,,,
PG.E.04,51,I_e,Gv*targ(Vm),2,network,Gv,1,5,Vm,0.9,1.1,,,,,,,,,,,,
PG.E.05,52,P_n,aggr(Gv*sour(Vm)*targ(Vm)*cos(sour(theta)-targ(theta))),3,network,Gv,1,5,Vm,0.9,1.1,theta,-0.5,0.5,,,,,,,,,
PG.E.06,53,Y_n,aggr(Bv*cos(sour(theta)-targ(theta))),2,network,Bv,1,5,theta,-0.5,0.5,,,,,,,,,,,,
PG.E.07,54,P_n,Vm*aggr(targ(Vm)*Gv),2,network,Vm,0.9,1.1,Gv,1,5,,,,,,,,,,,,
PG.E.08,55,P_e,sour(Vm)*targ(Vm)*Bv*sin(sour(theta)-targ(theta)),3,network,Vm,0.9,1.1,Bv,1,5,theta,-0.5,0.5,,,,,,,,,
PG.E.09,56,P_n,aggr(sour(Vm)**2*Gv),2,network,Vm,0.9,1.1,Gv,1,5,,,,,,,,,,,,
PG.E.10,57,f_n,aggr(cos(sour(theta))*cos(targ(theta))),1,network,theta,-0.5,0.5,,,,,,,,,,,,,,,
PG.E.11,58,I_n,aggr(Bv*(sour(Vm)+targ(Vm))),2,network,Bv,1,5,Vm,0.9,1.1,,,,,,,,,,,,
PG.E.12,59,I_n,Vm*aggr(Gv*cos(sour(theta)-targ(theta))),3,network,Vm,0.9,1.1,Gv,1,5,theta,-0.5,0.5,,,,,,,,,
PG.E.13,60,f_e,sin(sour(theta))*cos(targ(theta)),1,network,theta,-0.5,0.5,,,,,,,,,,,,,,,
PG.E.14,61,P_n,Vm**2*aggr(Bv*sin(sour(theta)-targ(theta))),3,network,Vm,0.9,1.1,Bv,1,5,theta,-0.5,0.5,,,,,,,,,
PG.F.01,62,F_out,m*a_s,2,scalar,m,1,5,a_s,1,5,,,,,,,,,,,,
PG.F.02,63,E_s,m*g_s*h,3,scalar,m,1,5,g_s,1,5,h,1,5,,,,,,,,,
PG.F.03,64,E_s,0.5*m*v_s**2,2,scalar,m,1,5,v_s,1,5,,,,,,,,,,,,
PG.F.04,65,F_out,m*v_s**2/d_s,3,scalar,m,1,5,v_s,1,5,d_s,1,5,,,,,,,,,
PG.F.05,66,F_out,k_s*d_s,2,scalar,k_s,1,5,d_s,1,5,,,,,,,,,,,,
PG.F.06,67,E_s,0.5*k_s*d_s**2,2,scalar,k_s,1,5,d_s,1,5,,,,,,,,,,,,
PG.F.07,68,P_s,F_s*v_s,2,scalar,F_s,1,5,v_s,1,5,,,,,,,,,,,,
PG.F.08,69,a_out,v_s**2/d_s,2,scalar,v_s,1,5,d_s,1,5,,,,,,,,,,,,
PG.F.09,70,E_s,F_s*d_s,2,scalar,F_s,1,5,d_s,1,5,,,,,,,,,,,,
PG.F.10,71,P_s,m*g_s*v_s,3,scalar,m,1,5,g_s,1,5,v_s,1,5,,,,,,,,,
PG.F.11,72,F_out,m*g_s,2,scalar,m,1,5,g_s,1,5,,,,,,,,,,,,
PG.F.12,73,V_out,I*rho_s*l_s/A_s,4,scalar,I,1,5,rho_s,1,5,l_s,1,5,A_s,1,5,,,,,,
PG.F.13,74,E_s,m*g_s*d_s*sin(phi),4,scalar,m,1,5,g_s,1,5,d_s,1,5,phi,0.1,3,,,,,,
PG.F.14,75,v_out,v_s*cos(phi),2,scalar,v_s,1,5,phi,0.1,3,,,,,,,,,,,,
PG.G.01,76,f_n,aggr(sour(theta)+targ(theta)),1,network,theta,-0.5,0.5,,,,,,,,,,,,,,,
PG.G.02,77,P_n,Vm*aggr(Gv*targ(Vm)),2,network,Vm,0.9,1.1,Gv,1,5,,,,,,,,,,,,
PG.G.03,78,I_e,(sour(Vm)+targ(Vm))*Gv,2,network,Vm,0.9,1.1,Gv,1,5,,,,,,,,,,,,
PG.G.04,79,I_n,aggr(Gv*(sour(Vm)+targ(Vm))),2,network,Gv,1,5,Vm,0.9,1.1,,,,,,,,,,,,
PG.G.05,80,P_n,Vm**2*aggr(Gv*cos(sour(theta)-targ(theta))),3,network,Vm,0.9,1.1,Gv,1,5,theta,-0.5,0.5,,,,,,,,,
PG.G.06,81,f_n,aggr(sin(sour(theta))-sin(targ(theta))),1,network,theta,-0.5,0.5,,,,,,,,,,,,,,,
PG.G.07,82,P_n,Vm*aggr(Bv*sour(Vm)),2,network,Vm,0.9,1.1,Bv,1,5,,,,,,,,,,,,
PG.G.08,83,Y_n,aggr(Gv+Bv),2,network,Gv,1,5,Bv,1,5,,,,,,,,,,,,
PG.G.09,84,P_n,Vm*aggr((Gv+Bv)*sour(Vm)),3,network,Vm,0.9,1.1,Gv,1,5,Bv,1,5,,,,,,,,,
PG.G.10,85,I_n,aggr(Gv*sour(Vm)*sin(sour(theta)-targ(theta))),3,network,Gv,1,5,Vm,0.9,1.1,theta,-0.5,0.5,,,,,,,,,
PG.G.11,86,f_e,sin(sour(theta))+cos(targ(theta)),1,network,theta,-0.5,0.5,,,,,,,,,,,,,,,
PG.G.12,87,P_n,Vm*aggr(Gv*sour(Vm)*cos(sour(theta))),3,network,Vm,0.9,1.1,Gv,1,5,theta,-0.5,0.5,,,,,,,,,

